rank,kliks,code,titel,kunstenaar,minimumprijs_eur
1,36,H476,"Scheveningen, 2015, “surfers”",Hans Emeis,65
2,22,A514,Pieter 5,Pieter vd Broeke,90
3,21,X764,"Scheveningen, 2015, “zuidelijke havenhoofd, gezicht op Hoek van Holland”",Hans Emeis,65
4,20,A850,Pieter 3,Pieter vd Broeke,70
5,13,B210,Boom 1,Thijs Veraart,90
6,11,K313,Couple,Marianne de Vries,80
7,11,M532,Staande Figuur met Hond,Thijs Veraart,75
8,10,R797,Pearl,Rob Freij,150
9,9,B106,Blocs 3,Jan Fritz,70
10,9,Q665,Hirdes 1,Eric Hirdes,350
11,9,W120,Omhelzing,Thijs Veraart,75
12,9,Y289,Pieter 14,Pieter vd Broeke,180
13,8,H306,Abstract 1,Jan Fritz,70
14,8,D701,Frida,Rob Freij,150
15,8,T139,Pieter 15,Pieter vd Broeke,180
16,8,Z526,Poort,Thijs Veraart,70
17,8,B725,Smog City,Jan Fritz,75
18,8,N654,Texture 3 (blauw/wit),Jan Fritz,60
19,7,S147,a Meeting,Siebrand Weitenberg,50
20,7,Q478,Friends,Marianne de Vries,60
21,7,T320,Landschap Toscane,Thijs Veraart,70
22,6,L654,Pieter 10,Pieter vd Broeke,180
23,6,N646,Pieter 12,Pieter vd Broeke,180
24,6,T805,Thinking,Rob Freij,150
25,6,E782,Vleugel 2,Thijs Veraart,60
26,6,N223,Water,Thijs Veraart,70
27,5,L700,Boom 2,Thijs Veraart,75
28,5,H901,Fading Away 1,Jan Fritz,80
29,5,L755,Just Colors,Jan Fritz,180
30,5,G696,Pieter 1,Pieter vd Broeke,70
31,5,L189,The Agressive!,Siebrand Weitenberg,60
32,5,N607,Vleugels Icarus,Thijs Veraart,90
33,5,J827,Zand & Water,Nico Laan,250
34,4,P542,An Old Birdy,Siebrand Weitenberg,50
35,4,G625,Bloempracht voor het Bloemenmeisje II,Siebrand Weitenberg,40
36,4,U150,Cirque,Marianne de Vries,90
37,4,H228,Pieter 13,Pieter vd Broeke,180
38,4,X363,Pieter 4,Pieter vd Broeke,70
39,4,J696,Vijver 2,Willy Meijs,150
40,4,P819,Vleugel 3,Thijs Veraart,60
41,3,F464,Corner Sun,Jan Fritz,90
42,3,M957,Flowers,Willy Meijs,150
43,3,V666,Louis,Marianne de Vries,140
44,3,Y835,Native,Rob Freij,150
45,3,P851,Pieter 11,Pieter vd Broeke,180
46,3,K471,Red on Black,Jan Fritz,80
47,3,V619,Rob1,Rob Freij,150
48,2,L432,Bloempracht voor het Bloemenmeisje V,Siebrand Weitenberg,40
49,2,M624,Bloempracht voor het Bloemenmeisje VIII,Siebrand Weitenberg,40
50,2,X836,Film-lady,Marianne de Vries,185
51,2,S412,Greenish,Jan Fritz,75
52,2,V640,Rode Boom,Thijs Veraart,70
53,1,B612,Kop,Thijs Veraart,75
54,0,Y921,Between Wind and Water,Willy Meijs,150
55,0,R947,Falling Yellow,Jan Fritz,60
56,0,U842,It isn't Easy to Follow,Jan Fritz,80
57,0,M684,Pieter 2,Pieter vd Broeke,70
58,0,T950,Pieter 8,Pieter vd Broeke,180
59,0,Y741,Texture 5 (groen/zwart),Jan Fritz,60
60,0,F987,Vleugel 1,Thijs Veraart,60
61,2,C607,(geen artwork met deze code),,
62,1,E927,(geen artwork met deze code),,
63,1,G207,(geen artwork met deze code),,
64,1,H399,(geen artwork met deze code),,
65,1,K770,(geen artwork met deze code),,
66,1,N867,(geen artwork met deze code),,
67,1,TEST1,(geen artwork met deze code),,
68,1,U235,(geen artwork met deze code),,
