rank,kliks,code,titel,kunstenaar,minimumprijs_eur
1,32,H476,"Scheveningen, 2015, “surfers”",Hans Emeis,65
2,20,A514,Pieter 5,Pieter vd Broeke,90
3,20,X764,"Scheveningen, 2015, “zuidelijke havenhoofd, gezicht op Hoek van Holland”",Hans Emeis,65
4,18,A850,Pieter 3,Pieter vd Broeke,70
5,12,B210,Boom 1,Thijs Veraart,90
6,11,M532,Staande Figuur met Hond,Thijs Veraart,75
7,10,K313,Couple,Marianne de Vries,80
8,10,R797,Pearl,Rob Freij,150
9,9,B106,Blocs 3,Jan Fritz,70
10,9,Q665,Hirdes 1,Eric Hirdes,350
11,9,W120,Omhelzing,Thijs Veraart,75
12,9,Y289,Pieter 14,Pieter vd Broeke,180
13,8,D701,Frida,Rob Freij,150
14,8,T139,Pieter 15,Pieter vd Broeke,180
15,7,B725,Smog City,Jan Fritz,75
16,7,Q478,Friends,Marianne de Vries,60
17,6,E782,Vleugel 2,Thijs Veraart,60
18,6,H306,Abstract 1,Jan Fritz,70
19,6,L654,Pieter 10,Pieter vd Broeke,180
20,6,N223,Water,Thijs Veraart,70
21,6,N654,Texture 3 (blauw/wit),Jan Fritz,60
22,6,T320,Landschap Toscane,Thijs Veraart,70
23,6,Z526,Poort,Thijs Veraart,70
24,5,N607,Vleugels Icarus,Thijs Veraart,90
25,5,N646,Pieter 12,Pieter vd Broeke,180
26,5,T805,Thinking,Rob Freij,150
27,4,G696,Pieter 1,Pieter vd Broeke,70
28,4,H901,Fading Away 1,Jan Fritz,80
29,4,J696,Vijver 2,Willy Meijs,150
30,4,L700,Boom 2,Thijs Veraart,75
31,4,L755,Just Colors,Jan Fritz,180
32,4,P819,Vleugel 3,Thijs Veraart,60
33,4,U150,Cirque,Marianne de Vries,90
34,3,F464,Corner Sun,Jan Fritz,90
35,3,K471,Red on Black,Jan Fritz,80
36,3,M957,Flowers,Willy Meijs,150
37,3,P851,Pieter 11,Pieter vd Broeke,180
38,3,V619,Rob1,Rob Freij,150
39,3,V666,Louis,Marianne de Vries,140
40,3,X363,Pieter 4,Pieter vd Broeke,70
41,3,Y835,Native,Rob Freij,150
42,2,H228,Pieter 13,Pieter vd Broeke,180
43,2,S412,Greenish,Jan Fritz,75
44,2,X836,Film-lady,Marianne de Vries,185
45,0,Y741,Texture 5 (groen/zwart),Jan Fritz,60
46,0,Y921,Between Wind and Water,Willy Meijs,150
